0010813,4,3,-1,-1,1080
0012fa1,4,4,4,4,2160
001dafd,4,4,4,4,2160
004baff,4,4,-1,-1,1080
005fcf8,4,4,3,-1,1440
00696a3,4,4,4,-1,1440
00733ce,4,4,-1,-1,1080
008e966,4,4,-1,-1,1080
009e94c,4,4,-1,-1,1080
00a6216,4,4,-1,-1,1080
00f82ee,4,4,4,4,2160
01050ca,4,4,-1,-1,1080
0108b88,4,2,1,-1,1440
012f908,4,4,4,4,2160
0130db3,4,4,-1,-1,1080
0152229,4,3,1,-1,1440
015925d,3,3,0,0,2160
016142d,4,4,4,0,2160
0184ba3,4,4,-1,-1,1080
01c1454,4,4,-1,-1,1080
01c4169,3,0,-1,-1,1080
01ea180,4,4,-1,-1,1080
01fdbb9,4,4,4,-1,1440
0202e97,4,4,4,3,2160
0207cd6,4,4,4,-1,1440
020ef14,4,4,-1,-1,1080
0236480,4,4,-1,-1,1080
02412b6,4,4,-1,-1,1080
024f1a6,2,-1,-1,-1,720
025df95,4,4,4,4,2160
02853f7,3,2,-1,-1,1080
029b53c,4,4,3,4,2160
02a1aaa,4,4,4,1,2160
02c1fa1,4,4,4,4,2160
02d64f2,4,4,4,-1,1440
02eede6,4,4,-1,-1,1080
02f00d1,4,3,-1,-1,1080
02f2a11,4,4,4,0,2160
02fb089,4,4,4,4,2160
031802e,4,4,4,4,2160
0319a95,4,4,4,4,2160
031b654,4,3,3,-1,1440
0329914,4,4,4,3,2160
0335ff4,4,4,-1,-1,1080
034747d,4,4,-1,-1,1080
0363a75,4,4,4,3,2160
03a24bf,4,4,-1,-1,1080
03a91f2,4,4,-1,-1,1080
03b0f18,4,3,0,0,2160
03fb379,4,4,4,4,2160
03fc779,2,4,3,-1,1440
040644e,4,4,4,3,2160
040b569,4,4,-1,-1,1080
042b3e7,4,4,-1,-1,1080
0430b27,4,4,-1,-1,1080
0448274,4,4,-1,-1,1080
04526ef,4,4,3,4,2160
0455e03,4,4,4,-1,1440
04634a4,4,4,4,4,2160
0466a7b,4,4,4,4,2160
047bfb1,4,4,4,4,2160
047c179,4,4,4,-1,1440
0494131,3,3,-1,-1,1080
0495855,4,4,-1,-1,1080
04abf5f,4,4,-1,-1,1080
04b6ed5,4,4,4,4,2160
04b7de5,4,3,1,0,2160
04b933c,4,4,4,4,2160
04d179f,3,3,-1,-1,1080
04e2d37,4,3,-1,-1,1080
05124f6,4,4,-1,-1,1080
0559dba,3,3,-1,-1,1080
058234f,4,1,-1,-1,1080
058281f,3,2,-1,-1,1080
0597d78,4,4,-1,-1,1080
05a6769,4,4,-1,-1,1080
05b49f5,4,4,-1,-1,1080
05d9aec,4,4,4,-1,1440
05fbeeb,4,4,-1,-1,1080
06139e2,4,4,4,3,2160
063d4c0,4,3,2,-1,1440
0663fab,4,4,4,-1,1440
06889d5,4,4,4,0,2160
06c4a95,0,3,3,-1,1440
06de4da,4,2,0,-1,1440
06f8a51,4,4,-1,-1,1080
07054e4,4,4,-1,-1,1080
076d9e7,4,3,3,-1,1440
078663d,4,4,-1,-1,1080
07bdc9d,4,4,-1,-1,1080
07e4497,4,2,1,-1,1440
08169fc,4,4,4,-1,1440
0825ada,4,4,-1,-1,1080
083b535,4,4,-1,-1,1080
083bd1d,4,4,-1,-1,1080
085023a,4,4,4,4,2160
08617c5,4,4,-1,-1,1080
086395c,4,3,-1,-1,1080
086a677,4,4,4,4,2160
086b016,4,4,-1,-1,1080
087f9c2,4,3,0,-1,1440
0889faa,3,4,3,-1,1440
088c034,4,3,-1,-1,1080
0893c5f,3,0,-1,-1,1080
08c2f9d,4,4,3,-1,1440
08fc705,4,3,-1,-1,1080
090f1ed,4,4,-1,-1,1080
0913792,3,4,-1,-1,1080
092bdb3,4,4,4,-1,1440
093368c,4,4,4,3,2160
09362de,4,4,-1,-1,1080
096df96,4,4,-1,-1,1080
096e51a,4,4,4,0,2160
097b4d9,4,4,-1,-1,1080
098caa4,4,4,4,4,2160
098da9f,4,4,-1,-1,1080
09aeeae,3,3,3,3,2160
09c587c,4,3,-1,-1,1080
09d2b07,4,4,-1,-1,1080
09d810d,3,4,4,3,2160
09df923,4,4,4,4,2160
09e4a89,3,3,3,-1,1440
0a3271b,4,4,4,4,2160
0a439b1,3,3,-1,-1,1080
0a4fd39,4,4,-1,-1,1080
0a564a3,4,4,-1,-1,1080
0a5c40d,4,4,4,-1,1440
0a69d13,4,4,-1,-1,1080
0ab82d9,4,4,4,1,2160
0aba01a,4,4,-1,-1,1080
0af1c27,4,3,0,-1,1440
0af9205,3,1,0,-1,1440
0b49311,4,3,3,-1,1440
0b4b6a7,4,4,4,4,2160
0b55157,3,3,-1,-1,1080
0b644f3,3,3,-1,-1,1080
0b692a3,4,4,4,4,2160
0b7e725,4,4,4,-1,1440
0b7f42e,4,3,3,-1,1440
